Formula,Label
C22H20F3N3O3,1
C20H18F3N3O,0
C22H21F2N3O3,1
C25H29FN8O,1
C21H19F2N3O3,1
C20H15F3N4O2,0
C24H23N7O,1
C17H20Br2F2N4O2S,0
C26H30FN7O,1
C17H20Br2F2N4O2S,0
C21H19F2N3O3,1
C20H18F3N3O2,1
C28H28FN7O2,1
C29H23FN6O3,1
C21H19F2N3O3,1
C26H23ClF3N3O4,1
C29H22F2N6O3,1
C32H34FN7O3,0
C26H24BrF2N5O5,0
C16H15ClN4O2,0
C25H27F3N6O2,0
C22H18BrF2N5O4,1
C24H21N7O5,0
C25H27F3N4O4,0
C15H18ClN3O2S,0
C25H28FN7O,1
C22H22F3N3O3,1
C27H25F2N9O,0
C21H25F3N8O2,0
C21H22F3N7O2,1
C29H22F2N6O3,1
C21H24F3N7O3,1
C26H30N8O,1
C27H24BrF5N4O3,1
C29H22F2N6O3,1
C28H24FN7O2,0
C31H24F2N6O3,1
C18H20N6O3,1
C22H21F4N5O2,1
C24H23N7O,1
C17H21N3O3S,0
C22H22F3N3O3,0
C24H24F3N3O4,0
C25H27FN6O,1
C17H20F3N3O2S,0
C18H13F3N4O2,0
C31H24F2N6O3,1
C19H14F4N4O,1
C19H15F3N4O2,0
C28H36F2N6O4S,0
C23H23F4N9O,1
C24H23N5O2,1
C24H23N7O,1
C26H29F3N6O2,1
C28H31FN8O3,0
C21H19F3N4O3,1
C29H38N6O2S,1
C16H18F3N3O2S,0
C29H22F2N6O3,1
C22H19F4N5O3,1
C25H24F3N3O3,1
C22H21F3N6O2,1
C26H30FN7O2,0
C22H19F2N7O2,1
C24H24F3N3O3,1
C27H24ClF5N4O3,0
C20H18N4O,1
C25H29F3N10O2,1
C29H22F2N6O3,1
C21H19F3N4O3,1
C24H21F3N6O,1
C23H22F3N3O4,0
C25H30F3N9O3,1
C20H23F3N8O,1
C23H19BrF5N5O2,0
C24H27N7O4,0
C24H21F3N6O,1
C23H22F3N3O4,0
C28H32FN7O,1
C23H21F2N7O3,0
C24H22F3N3O3,1
C41H43FN10O3,0
C24H25F4N9O,1
C30H29F2N5O5S,1
C24H17FN6O,1
C22H22F3N9O,1
C20H21F4N7O2,1
C27H32FN7O,1
C22H24F3N7O2,1
C20H21N7O,0
C24H34N6O5S,0
C26H30F3N7O2,0
C26H29F2N7O,1
C26H27F2N5O,1
C26H30F2N6O,1
C30H36F3N7O3,0
C23H24F3N9O,1
C27H31FN8O2,0
C28H29FN6O2,1
C20H17F5N6O2,1
C20H19F3N6O2,1
C20H21F3N6O,1
C19H21Br2F2N5O,1
C28H32FN9,1
C18H22Br2F2N4O2,1
C26H28FN5O,1
C22H26F3N7O3,1
C19H15ClF5N3O4,0
C26H28FN5O,1
C20H16F3N7O2,1
C25H24F3N3O3,1
C20H22F3N7O2,1
C26H27N9O,1
C28H34FN5O2,1
C22H22ClN7O,1
C20H16F3N5O3S,0
C26H34F2N6O4S,0
C23H20F2N6O,1
C25H24F3N3O3,1
C23H20ClF2N5O5,0
C21H19F3N4O3,1
C24H26F3N9O2,1
C22H22FN7O,1
C29H35FN4O2,0
C22H19ClF2N6O4,0
C22H20BrF2N7O4,1
C20H23F3N4O,1
C20H19F3N6O2,0
C17H20F3N5O,0
C17H18FN5O3,0
C19H22ClN7O2,1
C23H23F2N7O2,0
C27H29N9O,1
C23H24F3N9O,0
C23H24F3N9O,0
C21H27N7O,0
C23H24FN7O2,1
C23H21FN6O,1
C19H22ClN7O2,1
C18H20N8O,0
C24H25N7O2,0
C20H19FN4O3S,1
C23H24F3N9O,1
C19H19F3N4O2S,0
C21H25F3N4O2,1
C24H26F3N9O,1
C22H19ClF2N6O4,0
C17H20F4N4OS,0
C24H24F3N3O4,0
C23H22F3N3O4,0
C22H22F3N9O,1
C23H24F3N9O,1
C24H26F3N9O,0
C23H22F3N3O4,0
C22H28N4O2,1
C20H24N6O2S,0
C19H22ClN7O2,1
C25H27N7O2,0
C18H24N4O2S,0
C26H29FN6O,1
C23H24F3N9O,1
C21H25F3N4O2,1
C17H20F4N4OS,0
C23H21FN6O,1
C21H24N8O2,1
C22H24F3N7O3,1
C29H35FN4O2,0
C25H25N5O4,0
C27H26ClF2N3O4,0
C21H25N7O2,0
C23H23N7O2,0
C20H16F3N5O2S,0
C24H24BrN5O4,0
C21H21Cl2F3N4O4,0
C25H28FN5O2,0
C22H21F2N7O,1
C22H26F3N7O4,1
C24H22F2N6O,1
C30H34F3N5O,0
C24H26F3N9O,1
C22H25N7O2,1
C21H15F5N4O2S,0
C22H21N7O2,0
C21H27N7O2,0
C23H20F2N4O2S,1
C17H24N4O2S,0
C20H18FN5O3S,0
C17H21N7O,0
C24H26F3N9O,1
C27H31F3N10O2,1
C22H21ClF2N6O4,1
C28H27F2N3O2,0
C23H24F3N9O,1
C22H22N4O2S,0
C23H23N5OS,0
C28H34F3N11O,1
C25H32F3N9O2,1
C24H26F3N9O,1
C17H21F3N4OS,1
C30H34F3N5O,1
C22H20ClFN6O4,0
C22H27F3N4O2,1
C22H19F2N7O2,1
C22H27F3N8O3,1
C25H28F3N9O2,1
C21H27N7O3S,0
C24H26F3N9O,1
C26H27N7O,1
C25H32F3N9O2,1
C21H20F3N7O,1
C18H23F3N4O2S,1
C18H15N3O6S2,0
C22H24F3N7O,1
C24H25F3N6,1
C21H25F3N4O,1
C18H22Br2F2N4O,1
C24H32ClN9O2,1
C17H21BrF2N4O,1
